Table 1
Row Labels,Count of #,,,,,,,,,,,,,,,,,,,,,,,
14035001-14036000,5,,,,,,,,,,,,,,,,,,,,,,,
14036001-14037000,4,,,,,,,,,,,,,,,,,,,,,,,
15001001-15002000,5,,,,,,,,,,,,,,,,,,,,,,,
15002001-15003000,71,,,,,,,,,,,,,,,,,,,,,,,
15003001-15004000,3,,,,,,,,,,,,,,,,,,,,,,,
15004001-15005000,130,,,,,,,,,,,,,,,,,,,,,,,
15005001-15006000,65,,,,,,,,,,,,,,,,,,,,,,,
15006001-15007000,65,,,,,,,,,,,,,,,,,,,,,,,
15007001-15008000,39,,,,,,,,,,,,,,,,,,,,,,,
15008001-15009000,15,,,,,,,,,,,,,,,,,,,,,,,
15009001-15010000,3,,,,,,,,,,,,,,,,,,,,,,,
15010001-15011000,27,,,,,,,,,,,,,,,,,,,,,,,
15018001-15019000,1,,,,,,,,,,,,,,,,,,,,,,,
16001001-16002000,2,,,,,,,,,,,,,,,,,,,,,,,
16002001-16003000,8,,,,,,,,,,,,,,,,,,,,,,,
16003001-16004000,29,,,,,,,,,,,,,,,,,,,,,,,
16004001-16005000,5,,,,,,,,,,,,,,,,,,,,,,,
16005001-16006000,3,,,,,,,,,,,,,,,,,,,,,,,
16006001-16007000,1,,,,,,,,,,,,,,,,,,,,,,,
16007001-16008000,9,,,,,,,,,,,,,,,,,,,,,,,
16008001-16009000,6,,,,,,,,,,,,,,,,,,,,,,,
16009001-16010000,5,,,,,,,,,,,,,,,,,,,,,,,
